market_region,market_district,market_settlement,name,ADM1_NAME,ADM2_NAME,hex_4000km,finalsettlement
lower_shabelle,afgooye,NA-3807-W03-014,Balbaley,Lower Shabelle,Afgooye,Z-53,NA-3807-W03-014
lower_shabelle,afgooye,NA-3807-S05-001,Baldooska,Lower Shabelle,Afgooye,Z-52,NA-3807-S05-001
lower_shabelle,afgooye,NA-3807-S07-003,Baloow,Lower Shabelle,Afgooye,AA-51,NA-3807-S07-003
middle_shabelle,balcad,NA-3807-N08-002,Bananey,Middle Shabelle,Balcad,AA-51,NA-3807-N08-002
bay,baidoa,NA-3801-U27-004,Berdale,Bay,Baidoa,N-47,NA-3801-U27-004
bay,diinsoor,NA-3805-Q20-002,Bilile,Bay,Diinsoor,M-51,NA-3805-Q20-002
middle_juba,saakow,NA-3809-H10-001,Birbiris,Middle Juba,Saakow,J-55,NA-3809-H10-001
NC,NC,NC,Bombaasa Kulub,Lower Shabelle,Kurtunwaarey,V-55,NA-3810-H21-004
lower_shabelle,afgooye,NA-3807-U03-002,Bullalow,Lower Shabelle,Afgooye,Y-52,NA-3807-U03-002
lower_shabelle,wanla_weyn,NA-3806-L33-006,Bulo Haji Abdulle,Lower Shabelle,Wanla Weyn,Y-50,NA-3806-L33-006
lower_shabelle,afgooye,NA-3807-W03-007,Bulo Hashi,Lower Shabelle,Afgooye,Y-51,NA-3807-P01-002
NC,NC,NC,Caanoole,Lower Shabelle,Afgooye,Y-52,NA-3807-W01-002
bay,buur_hakaba,NA-3806-A18-004,Bur-Heybe (Main Village),Bay,Buur Hakaba,U-48,NA-3806-A18-004
lower_shabelle,qoryooley,NA-3810-F23-010,Busley,Lower Shabelle,Qoryooley,W-54,NA-3810-D28-007
bay,baidoa,NA-3805-A33-007,Buulo Barako,Bay,Baidoa,P-48,NA-3805-A33-007
bay,baidoa,NA-3801-V29-001,Buulo Fuur,Bay,Baidoa,O-47,NA-3801-V29-001
NC,NC,NC,Buulo Hadamo (Bakaley),Bay,Diinsoor,L-51,NA-3805-L21-001
bakool,tayeeglow,NB-3814-Z19-002,Buulo Jadiid,Bakool,Tayeeglow,U-43,NB-3814-Z19-002
lower_shabelle,marka,NA-3810-J23-002,Buulo Mareer,Lower Shabelle,Marka,V-55,NA-3810-J23-002
lower_shabelle,afgooye,NA-3807-W03-003,Buulo-Folyo 1,Lower Shabelle,Afgooye,Z-53,NA-3807-W03-003
middle_shabelle,balcad,NA-3807-N11-004,Buulo-Shiikh,Middle Shabelle,Balcad,AB-51,NA-3807-N11-004
bay,diinsoor,NA-3805-S12-002,Buulo-Xaaji,Bay,Diinsoor,J-52,NA-3805-S12-002
lower_shabelle,qoryooley,NA-3810-G22-011,Cabdi Cali,Lower Shabelle,Qoryooley,V-55,NA-3810-G22-011
lower_shabelle,afgooye,NA-3810-B33-007,Ceebiyoole,Lower Shabelle,Afgooye,Y-53,NA-3810-B33-007
middle_shabelle,balcad,NA-3807-M08-006,Ceel Geelow,Middle Shabelle,Balcad,AA-50,NA-3807-M08-006
NC,NC,NC,Daniga,Lower Shabelle,Afgooye,AA-51,NA-3807-S07-004
lower_shabelle,afgooye,NA-3806-X33-004,Darusalaam,Lower Shabelle,Afgooye,Y-52,NA-3806-X33-004
middle_juba,saakow,NA-3809-E09-002,Daggaras,Middle Juba,Saakow,I-54,NA-3809-E09-002
bay,diinsoor,NA-3805-N20-001,Deg-Gomor,Bay,Diinsoor,L-51,NA-3805-N20-001
NC,NC,NC,Doon Aw Suurre,Lower Shabelle,Afgooye,Z-53,NA-3807-V03-001
lower_shabelle,qoryooley,NA-3810-H21-008,Doon Loow,Lower Shabelle,Qoryooley,V-55,NA-3810-H21-008
lower_shabelle,afgooye,NA-3807-T03-002,Doonka,Lower Shabelle,Afgooye,AA-50,NA-3807-L07-001
NC,NC,NC,Doonka,Lower Shabelle,Afgooye,Z-52,NA-3807-T03-002
bay,buur_hakaba,NA-3806-C08-002,Dooy-Gaab,Bay,Buur Hakaba,R-49,NA-3806-C08-002
