"hex_4000km","assessed_num","ki_num","food_situation_improved","food_situation_NC","food_situation_remained_same","food_situation_worse","food_source_bought_cash","food_source_given_someone","food_price_changed_prices_increased","access_healthservices_no","protection_incidents_none_no","dam_shelters_reason_conflict_looting","dam_shelters_reason_fire","dam_shelters_reason_flooding","shelters_not_rebuilt_around_half","shelters_not_rebuilt_less_half","shelters_not_rebuilt_more_half","handwashing_access_no","health_workers_available_yes","dam_shelter_yes","education_bar_cost_stud","shelters_not_rebuilt_dummy_NC","shelters_not_rebuilt_dummy_no","shelters_not_rebuilt_dummy_SL","shelters_not_rebuilt_dummy_yes"
"H-67",1,1,"1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","1 (1, 1)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)"
"I-51",2,3,"0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0.5 (-0.2, 1.2)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","1 (1, 1)","0.5 (-0.2, 1.2)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)"
"I-52",3,3,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.33 (-0.2, 0.87)","0 (0, 0)","0.67 (0.13, 1.2)","0.67 (0.13, 1.2)","1 (1, 1)","0.33 (-0.2, 0.87)","0 (0, 0)","0 (0, 0)","0.33 (-0.2, 0.87)","0 (0, 0)","0 (0, 0)","0.67 (0.13, 1.2)","0.33 (-0.2, 0.87)","0.33 (-0.2, 0.87)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.67 (0.13, 1.2)","0.33 (-0.2, 0.87)"
"I-53",1,1,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"I-54",5,8,"0.2 (-0.15, 0.55)","0.4 (-0.03, 0.83)","0 (0, 0)","0.4 (-0.03, 0.83)","0.2 (-0.15, 0.55)","0 (0, 0)","1 (1, 1)","0.6 (0.17, 1.03)","0.2 (-0.15, 0.55)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.2 (-0.15, 0.55)","0 (0, 0)","0.4 (-0.03, 0.83)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"I-55",2,3,"0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"I-63",3,13,"1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.33 (-0.2, 0.87)","0 (0, 0)","1 (1, 1)","0.67 (0.13, 1.2)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.33 (-0.2, 0.87)","0 (0, 0)","0 (0, 0)","0.67 (0.13, 1.2)","0.33 (-0.2, 0.87)","0 (0, 0)","0.33 (-0.2, 0.87)","0 (0, 0)","0 (0, 0)","0.67 (0.13, 1.2)","0.33 (-0.2, 0.87)"
"I-64",2,7,"0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"I-65",3,12,"0.33 (-0.2, 0.87)","0 (0, 0)","0 (0, 0)","0.67 (0.13, 1.2)","1 (1, 1)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.67 (0.13, 1.2)","0 (0, 0)","0 (0, 0)","0.33 (-0.2, 0.87)","0 (0, 0)","0 (0, 0)","0.67 (0.13, 1.2)","0.33 (-0.2, 0.87)"
"I-66",1,2,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
